,城市,岗位数量,lon,lat
0,北京,649,116.407526,39.90403
1,深圳,578,114.057868,22.543099
2,上海,526,121.473701,31.230416
3,广州,288,113.264434,23.129162
4,成都,250,104.066541,30.572269
5,杭州,200,120.15507,30.274084
6,武汉,115,114.305392,30.593098
7,西安,69,108.940174,34.341568
8,南京,52,118.796877,32.060255
9,苏州,43,120.585315,31.298886
10,合肥,28,117.227239,31.820586
11,佛山,25,113.121416,23.021548
12,郑州,25,113.625368,34.746599
13,长沙,25,112.938814,28.228209
14,重庆,18,106.551556,29.563009
15,宁波,17,121.550357,29.874556
16,济南,17,117.119999,36.651216
17,福州,15,119.296494,26.074507
18,东莞,15,113.751765,23.020536
19,厦门,15,118.089425,24.479833
20,天津,14,117.200983,39.084158
21,珠海,12,113.576726,22.270715
22,青岛,9,120.382639,36.067082
23,贵阳,6,106.630153,26.647661
24,桂林,4,110.290194,25.273566
25,大连,4,121.614682,38.914003
26,温州,4,120.699366,27.994267
27,廊坊,4,116.683752,39.538047
28,中山,3,113.392782,22.517645
29,太原,3,112.548879,37.87059
30,昆明,3,102.832891,24.880095
31,长春,3,125.323544,43.817071
32,海外,3,104.012093,26.80443
33,金昌,3,102.188043,38.520089
34,拉萨,3,91.140856,29.645554
35,龙岩,2,117.017536,25.075123
36,台州,2,121.420757,28.656386
37,南宁,2,108.366543,22.817002
38,沈阳,2,123.431474,41.805698
39,潍坊,2,119.161755,36.706774
40,烟台,2,121.447935,37.463822
41,湖州,2,120.086823,30.894348
42,淄博,2,118.054927,36.813487
43,无锡,2,120.31191,31.491169
44,南昌,2,115.858197,28.682892
45,呼和浩特,2,111.74918,40.842585
46,石家庄,2,114.51486,38.042307
47,常州,2,119.973987,31.810689
48,连云港,1,119.221611,34.596653
49,汕头,1,116.681972,23.354091
50,阿克苏地区,1,80.260605,41.168779
51,曲靖,1,103.796167,25.489999
52,兰州,1,103.834303,36.061089
53,嘉兴,1,120.755486,30.746129
54,香港,1,114.163825,22.276284
55,梅州,1,116.122238,24.288615
56,泉州,1,118.675675,24.874132
57,海口,1,110.198293,20.044001
58,洛阳,1,112.45404,34.619682
59,鞍山,1,122.994329,41.108647
60,滨州,1,117.970703,37.38199
61,河源,1,114.700447,23.743538
62,运城,1,111.007528,35.026412
63,长治,1,113.116255,36.195386
64,金华,1,119.647444,29.079059
65,商丘,1,115.65637,34.414172
66,清远,1,113.056031,23.681763
67,唐山,1,118.180193,39.630867
68,辽阳,1,123.236944,41.267244
69,徐州,1,117.284124,34.205768
70,临沂,1,118.356448,35.104672
71,秦皇岛,1,119.600492,39.935385
72,咸阳,1,108.708991,34.329605
73,通化,1,125.939697,41.728401
74,盐城,1,120.163561,33.347382
75,安阳,1,114.392392,36.097577
76,哈尔滨,1,126.534967,45.803775
77,惠州,1,114.416196,23.111847
78,乌鲁木齐,1,87.616848,43.825592
79,扬州,1,119.412966,32.39421
